drill_id,drill_name,category,field_size_yds,players_min,players_max,positions,attributes,equipment,difficulty,description,duration_minutes,field_type,setup_data,coaching_points,intensity,coach_rating,personal_notes,times_used,last_used_date,diagram_path,diagram_metadata
WU_001,Dynamic Ball Mastery,Warmup,20x20,8,20,ALL,first_touch,cones balls,beginner,Light dynamic movements with ball touches between each cone.,15.0,full,{},Keep moving constantly | Focus on dynamic stretching | Gradual intensity increase,low,2,Too simple for my team. Need more dynamic warmups.,0,,assets/diagrams/WU_001.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
WU_002,Tag + Turns,Warmup,15x15,6,16,ALL,agility first_touch,cones,beginner,Players move freely and perform quick turns when tagged or called.,15.0,full,{},Explosive turns on tag | Change of pace after turn | Keep head up while moving,low,3,,0,,assets/diagrams/WU_002.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
WU_003,Two-Cone Rondo Warmup,Warmup,10x10,5,8,ALL,passing decision_making,cones balls,beginner,Simple rondo to get touches and warm up movement patterns.,15.0,full,{},Keep moving constantly | Focus on dynamic stretching | Gradual intensity increase,low,3,,0,,assets/diagrams/WU_003.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
WU_004,Mirror Movements,Warmup,10x20,4,12,ALL,agility awareness,cones,beginner,Partners mirror each other’s movements with ball manipulation.,15.0,full,{},Keep moving constantly | Focus on dynamic stretching | Gradual intensity increase,low,3,,0,,assets/diagrams/WU_004.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
WU_005,Juggling Ladder,Warmup,20x20,6,20,ALL,first_touch coordination,balls,beginner,Players progress juggling challenges while moving through the grid.,15.0,full,{},Keep moving constantly | Focus on dynamic stretching | Gradual intensity increase,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
CD_001,Light Passing Pairs,CoolDown,15x15,6,20,ALL,passing,balls,beginner,Simple passing while walking and stretching out movement.,15.0,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
CD_002,Static Stretching Circle,CoolDown,10x10,6,20,ALL,mobility,,beginner,Hold each stretch for 20–30 seconds in team circle.,15.0,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
CD_003,Breathwork + Touches,CoolDown,10x15,6,20,ALL,first_touch recovery,balls,beginner,Slow juggling or touches paired with controlled breathing.,15.0,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
CD_004,Partner Resistance Stretch,CoolDown,10x10,4,20,ALL,mobility,,beginner,Partners help each other stretch hamstrings and quads.,15.0,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
CD_005,Walking Technical Reset,CoolDown,20x20,8,20,ALL,control,balls,beginner,Players walk laps touching the ball every step to calm tempo.,15.0,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,low,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
COND_001,High-Tempo Passing Grid,Conditioning,20x20,6,10,ALL,passing endurance,cones balls,intermediate,Short sharp passing in tight space with constant movement.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
COND_002,Dribble Intervals,Conditioning,20x30,6,14,ALL,dribbling stamina,cones balls,intermediate,"30 seconds dribble, 15 seconds recovery.",,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
COND_003,Sprint-to-Finish Reps,Conditioning,25x20,4,10,"FWD,MID",finishing speed,balls cones,intermediate,Sprint from cone to finish first-time on service.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
COND_004,Defensive Recovery Runs,Conditioning,30x20,6,12,"DEF,GK",defending pace,cones balls,intermediate,Recover from central line into defending shape repeatedly.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
COND_005,1v1 Continuous Channel,Conditioning,15x20,4,8,ALL,pace dribbling,cones balls,intermediate,Continuous 1v1 in narrow lane creates repeated sprint demand.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
